"Dia Mês da Notific";"Água Rasa";"Alto de Pinheiros";"Anhanguera";"Aricanduva";"Artur Alvim";"Barra Funda";"Bela Vista";"Belém";"Bom Retiro";"Brás";"Brasilândia";"Butantã";"Cachoeirinha";"Cambuci";"Campo Belo";"Campo Grande";"Campo Limpo";"Cangaíba";"Capão Redondo";"Carrão";"Casa Verde";"Cidade Ademar";"Cidade Dutra";"Cidade Líder";"Cidade Tiradentes";"Consolação";"Cursino";"Ermelino Matarazzo";"Freguesia do Ó";"Grajaú";"Guaianases";"Iguatemi";"Ipiranga";"Itaim Bibi";"Itaim Paulista";"Itaquera";"Jabaquara";"Jaçanã";"Jaguara";"Jaguaré";"Jaraguá";"Jardim Ângela";"Jardim Helena";"Jardim Paulista";"Jardim São Luís";"José Bonifácio";"Lajeado";"Lapa";"Liberdade";"Limão";"Mandaqui";"Marsilac";"Moema";"Mooca";"Morumbi";"Parelheiros";"Pari";"Parque do Carmo";"Pedreira";"Penha";"Perdizes";"Perus";"Pinheiros";"Pirituba";"Ponte Rasa";"Raposo Tavares";"República";"Rio Pequeno";"Sacomã";"Santa Cecília";"Santana";"Santo Amaro";"São Domingos";"São Lucas";"São Mateus";"São Miguel";"São Rafael";"Sapopemba";"Saúde";"Sé";"Socorro";"Tatuapé";"Tremembé";"Tucuruvi";"Vila Andrade";"Vila Curuçá";"Vila Formosa";"Vila Guilherme";"Vila Jacuí";"Vila Leopoldina";"Vila Maria";"Vila Mariana";"Vila Matilde";"Vila Medeiros";"Vila Prudente";"Vila Sônia";"Ign";"Localizado fora do MSP";"Total"
"07_10";13;3;4;12;18;5;8;6;2;8;16;2;3;6;3;9;17;16;26;15;5;12;8;14;12;4;7;18;13;23;20;7;6;14;4;23;13;7;4;1;22;31;5;8;26;14;19;11;8;4;8;-;3;10;8;2;-;7;13;10;16;2;14;21;10;6;4;13;24;12;3;3;7;19;8;7;7;30;12;2;-;11;16;6;14;13;20;2;8;-;6;5;13;8;14;5;12;24;1013
"08_10";6;7;11;14;18;5;11;18;3;3;16;7;8;5;6;4;35;11;26;28;7;14;14;7;16;3;18;15;13;22;8;8;12;26;9;14;16;5;1;2;17;16;16;10;12;7;9;4;7;5;5;-;10;12;8;6;3;8;9;20;11;3;9;10;8;7;4;14;34;4;6;11;10;17;13;26;11;19;16;1;1;17;7;17;13;13;17;3;13;2;3;14;8;6;19;10;17;22;1092
"09_10";6;8;14;8;22;8;8;7;1;4;42;4;14;7;10;6;15;8;55;16;7;7;11;13;19;11;15;19;53;14;12;9;14;17;21;26;16;4;3;1;19;28;29;18;22;9;28;7;10;13;8;1;11;10;5;6;-;8;8;22;9;6;12;22;8;8;5;18;46;11;12;5;5;26;22;20;15;26;10;-;-;14;15;7;16;28;12;3;10;3;4;14;14;10;8;10;27;29;1327
"10_10";4;2;6;7;5;-;3;2;6;2;22;2;5;2;4;5;9;6;16;2;7;12;7;9;9;3;5;12;34;8;1;8;3;6;5;12;6;4;2;6;9;6;8;9;11;9;4;1;2;8;5;-;2;7;5;6;2;1;3;6;3;10;9;14;6;5;3;3;13;1;36;2;4;2;7;10;5;8;7;1;-;-;5;3;9;5;5;2;14;7;3;11;11;1;1;4;10;8;621
"11_10";1;1;5;3;2;2;7;2;-;-;1;2;2;3;-;1;3;1;4;-;-;3;5;-;4;2;2;4;9;15;1;-;4;6;-;1;8;-;5;5;1;3;2;5;3;1;1;3;1;1;2;-;3;1;2;1;-;-;-;1;-;3;1;3;1;-;-;3;6;1;2;1;12;1;1;2;4;5;1;2;-;1;-;-;2;1;-;2;2;9;6;2;2;4;1;3;2;8;239
"12_10";-;2;1;1;6;-;4;-;-;-;3;1;2;2;2;1;11;5;15;4;2;4;4;2;6;1;9;3;4;5;4;1;6;1;2;14;7;2;-;1;5;4;3;4;3;4;6;1;2;1;-;-;-;3;1;-;1;3;1;4;1;2;4;3;4;3;3;6;9;2;2;2;4;1;8;4;5;8;1;-;1;4;2;1;4;3;2;2;4;1;2;3;6;4;9;2;4;10;320
"13_10";10;8;5;17;20;9;11;8;2;4;23;8;7;5;8;12;26;26;60;12;6;21;16;16;26;4;22;14;19;36;23;8;19;12;2;16;30;3;-;5;21;42;13;9;35;19;28;8;9;21;5;-;10;10;6;9;2;10;10;12;6;4;12;24;10;13;3;15;48;11;7;13;12;28;30;5;46;64;25;1;3;19;15;10;14;15;13;4;9;6;8;14;26;9;15;11;25;43;1494
"14_10";4;7;8;12;20;6;17;3;2;5;42;8;14;3;6;12;32;17;54;12;6;26;25;19;32;2;17;12;23;33;15;13;23;21;22;28;33;7;4;4;11;38;19;20;31;11;48;16;2;11;12;-;19;5;8;8;3;8;11;9;13;6;5;33;13;13;9;14;38;6;81;15;19;18;25;20;13;34;20;1;4;12;16;12;8;44;9;7;20;5;9;12;9;10;16;7;32;24;1591
"15_10";6;3;7;10;13;6;7;4;-;2;16;8;10;5;5;9;30;16;26;16;4;20;39;13;16;4;15;32;10;61;10;4;9;14;12;20;23;7;2;3;18;26;15;7;22;8;12;24;3;11;5;-;11;5;8;8;3;4;5;13;16;15;6;19;9;8;4;11;35;6;9;11;15;18;18;6;11;42;12;-;2;6;19;3;20;14;9;4;11;4;5;7;12;3;18;19;28;28;1208
"16_10";13;9;1;13;22;2;7;5;1;3;16;8;10;5;7;12;22;11;71;9;1;20;13;7;16;8;10;16;27;48;11;5;22;17;13;18;22;8;2;2;14;20;19;12;27;9;14;24;7;17;7;1;10;9;10;11;2;12;11;15;20;8;3;17;10;9;4;15;28;7;5;6;7;12;13;6;8;37;17;2;2;15;9;7;23;27;8;6;9;1;2;12;13;5;11;14;37;31;1250
