"Dia Mês da Notific";"Água Rasa";"Alto de Pinheiros";"Anhangüera";"Aricanduva";"Artur Alvim";"Barra Funda";"Bela Vista";"Belém";"Bom Retiro";"Brás";"Brasilândia";"Butantã";"Cachoeirinha";"Cambuci";"Campo Belo";"Campo Grande";"Campo Limpo";"Cangaíba";"Capão Redondo";"Carrão";"Casa Verde";"Cidade Ademar";"Cidade Dutra";"Cidade Líder";"Cidade Tiradentes";"Consolação";"Cursino";"Ermelino Matarazzo";"Freguesia do Ó";"Grajaú";"Guaianases";"Iguatemi";"Ipiranga";"Itaim Bibi";"Itaim Paulista";"Itaquera";"Jabaquara";"Jacanã";"Jaguara";"Jaguaré";"Jaraguá";"Jardim Angela";"Jardim Helena";"Jardim Paulista";"Jardim São Luís";"José Bonifácio";"Lajeado";"Lapa";"Liberdade";"Limão";"Mandaqui";"Marsilac";"Moema";"Mooca";"Morumbi";"Parelheiros";"Pari";"Parque do Carmo";"Pedreira";"Penha";"Perdizes";"Perus";"Pinheiros";"Pirituba";"Ponte Rasa";"Raposo Tavares";"República";"Rio Pequeno";"Sacomã";"Santa Cecília";"Santana";"Santo Amaro";"São Domingos";"São Lucas";"São Mateus";"São Miguel";"São Rafael";"Sapopemba";"Saúde";"Sé";"Socorro";"Tatuapé";"Tremembé";"Tucuruvi";"Vila Andrade";"Vila Curuçá";"Vila Formosa";"Vila Guilherme";"Vila Jacuí";"Vila Leopoldina";"Vila Maria";"Vila Mariana";"Vila Matilde";"Vila Medeiros";"Vila Prudente";"Vila Sônia";"Total"
"Ign/Branco";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2;2;-;1;-;1;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;2;-;-;-;-;1;-;1;-;2;-;1;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;24
"20/01";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"05/02";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"01/03";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"06/03";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"12/03";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"13/03";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"14/03";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2
"15/03";-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"16/03";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;5
"17/03";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;6
"18/03";-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;1;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;12
"19/03";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;2;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;2;-;-;-;-;3;-;-;-;-;-;-;-;1;2;-;-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;-;20
"20/03";1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;1;1;1;-;1;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;21
"21/03";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;1;-;-;-;1;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;1;1;-;-;-;1;15
"22/03";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;2;-;-;-;-;9
"23/03";2;-;1;-;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;2;-;-;1;-;-;-;-;1;1;1;1;-;1;2;-;-;-;1;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-;-;-;1;-;-;-;-;3;-;-;-;1;-;1;1;-;1;1;1;-;2;-;-;-;-;1;-;2;-;-;-;-;-;1;3;-;1;-;-;43
"24/03";1;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;1;-;-;2;1;-;-;-;1;-;-;-;-;1;-;-;-;-;-;1;1;-;1;-;-;-;1;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;1;-;1;-;-;1;-;-;-;-;-;-;1;-;-;2;-;28
"25/03";-;-;-;-;4;-;-;-;-;-;1;-;1;-;-;-;-;-;1;1;-;1;-;-;-;1;-;-;-;2;2;-;-;-;-;2;3;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;1;-;-;-;-;1;-;-;-;1;-;-;3;1;-;1;-;1;-;1;1;-;-;-;2;1;1;-;-;1;-;-;-;2;1;-;2;-;44
"26/03";-;-;1;1;2;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;2;1;-;-;2;1;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;2;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;1;1;29
"27/03";-;5;-;1;3;-;3;-;1;-;3;1;1;-;1;4;3;3;1;-;1;4;-;5;2;3;3;1;1;3;1;1;3;10;5;2;5;1;-;-;1;4;-;10;2;1;3;1;2;2;1;-;14;1;8;2;1;-;3;3;4;-;9;3;4;1;2;2;6;5;-;4;1;-;2;2;1;2;3;1;1;2;1;1;9;1;1;-;2;3;1;2;2;1;2;1;222
"28/03";-;1;1;1;2;-;2;-;-;1;2;1;1;-;4;1;5;2;4;-;-;1;5;2;5;3;2;-;2;7;3;-;-;6;5;1;8;-;-;-;2;5;-;5;2;-;1;1;2;1;2;-;8;1;12;3;1;-;4;1;3;2;4;4;1;3;1;3;1;2;3;1;1;-;4;2;-;1;5;1;1;1;1;-;10;2;-;-;1;4;-;2;-;-;1;3;197
"29/03";-;-;-;2;-;1;-;1;-;-;-;-;-;-;2;-;1;3;-;3;1;1;-;-;-;1;-;1;-;1;-;1;-;3;1;2;3;-;-;-;-;-;-;6;3;1;1;-;2;-;-;-;8;-;5;1;-;-;-;1;-;1;4;-;-;-;-;-;-;2;-;-;1;3;1;-;-;2;1;-;1;1;3;-;6;-;-;-;-;1;-;2;1;2;-;6;94
"30/03";3;1;1;2;1;-;2;-;-;-;2;2;5;2;4;5;2;3;5;-;2;4;5;2;1;2;4;2;2;-;-;2;3;9;5;5;10;-;1;-;3;9;1;7;4;3;2;1;1;-;2;-;8;3;11;-;-;1;-;-;4;4;6;3;1;-;3;1;5;6;4;4;1;2;1;2;4;4;5;-;3;1;1;6;7;2;-;-;1;5;1;8;1;2;4;1;258
"31/03";1;2;-;1;2;-;8;1;-;-;1;3;5;-;2;3;2;2;8;4;2;4;3;1;5;1;3;1;4;2;2;-;2;1;4;3;6;2;-;-;4;3;1;4;3;5;1;1;2;-;5;-;5;-;26;-;-;4;4;2;5;2;3;2;1;3;-;2;8;1;5;-;-;5;3;1;1;7;3;1;1;4;2;-;13;-;-;1;-;1;1;4;1;-;-;6;248
"01/04";6;2;1;-;3;-;19;-;2;-;2;1;5;3;8;4;7;3;11;-;1;12;4;-;6;1;2;1;2;11;1;1;6;2;4;7;4;4;1;-;2;17;3;11;10;2;2;3;-;3;4;-;7;3;22;9;-;2;2;5;1;4;3;-;2;3;-;1;10;1;1;8;2;3;7;3;2;8;4;1;-;1;6;3;16;2;3;1;2;-;2;9;3;2;6;4;378
"02/04";-;-;-;1;1;1;5;2;-;1;4;-;6;-;3;-;4;3;9;1;1;6;2;4;5;2;2;1;3;7;1;4;3;3;4;4;4;1;1;2;4;11;-;5;4;5;2;-;2;3;2;-;6;-;14;1;-;2;4;6;6;-;4;3;2;4;-;2;5;1;5;3;3;3;4;2;1;7;7;-;-;3;3;1;5;-;3;-;1;-;3;8;5;2;2;3;273
"03/04";2;-;-;4;6;2;4;-;-;1;8;-;1;-;6;2;8;8;8;2;1;9;1;6;5;2;8;1;3;5;5;8;5;3;8;10;6;8;-;-;7;15;3;7;5;4;1;6;4;2;6;-;4;1;13;1;-;2;2;7;4;2;2;3;2;1;-;5;10;2;3;4;-;5;7;4;2;8;3;-;1;4;2;2;2;8;3;1;6;1;2;11;-;6;2;4;368
"04/04";-;2;2;1;1;2;3;1;1;1;3;1;2;-;2;1;4;4;7;1;-;3;1;1;2;2;-;1;2;4;3;5;5;5;4;4;2;3;-;1;4;3;2;3;2;1;2;5;4;2;3;-;8;1;8;1;2;3;4;4;-;-;1;-;2;1;1;-;6;-;3;1;3;1;2;-;3;6;5;1;-;-;1;1;4;2;3;1;1;1;2;9;2;1;-;1;214
"05/04";2;2;-;2;2;-;2;-;-;2;-;-;3;1;-;-;2;3;4;-;-;3;1;2;1;2;1;1;1;4;1;2;1;1;3;-;2;-;-;-;1;4;4;4;4;4;2;3;1;1;1;-;1;-;20;-;-;3;-;3;1;1;-;-;1;1;1;1;-;1;-;1;-;1;2;2;1;1;2;-;-;2;1;-;-;2;-;2;-;-;-;5;1;2;2;1;142
"06/04";3;2;4;6;4;-;9;2;2;-;4;1;4;6;1;4;7;3;15;5;1;7;3;1;14;3;7;3;6;11;6;9;5;3;6;13;9;7;1;2;6;22;4;9;11;7;6;2;2;4;4;-;6;4;11;5;2;2;1;6;4;4;6;4;2;1;-;3;12;3;11;4;3;10;8;9;9;20;8;1;1;6;9;4;4;5;2;1;4;4;-;10;6;3;10;3;507
"07/04";5;5;2;1;4;1;13;1;1;1;9;1;5;3;2;2;11;5;16;6;5;11;5;5;12;8;1;3;6;7;7;9;2;8;16;12;11;7;-;1;4;15;5;11;14;7;11;5;8;4;8;-;9;4;9;8;2;7;6;5;3;2;7;4;2;2;3;4;7;4;4;3;1;7;7;1;6;11;11;1;1;2;7;5;9;8;4;1;3;3;4;11;3;1;5;2;531
"08/04";3;3;1;4;6;-;7;3;1;1;6;-;4;-;4;3;15;5;22;3;3;5;8;4;12;9;3;4;1;8;4;7;5;7;15;13;5;7;1;1;4;18;4;10;10;8;10;3;6;4;8;-;4;4;17;3;-;4;3;8;8;2;9;5;4;1;5;7;8;3;10;7;1;7;8;5;2;10;7;-;1;3;5;5;13;7;3;1;1;-;4;13;7;11;5;6;535
"09/04";3;-;2;3;2;-;16;1;-;1;6;-;2;-;5;5;8;5;16;3;1;4;8;5;11;-;4;1;2;5;4;1;8;3;9;17;10;7;2;3;5;11;3;6;5;7;4;4;1;3;2;-;3;4;8;5;1;3;1;9;6;1;1;3;9;3;2;5;7;5;3;3;2;4;8;3;4;10;4;1;1;5;5;5;9;4;1;-;4;1;3;11;5;4;6;4;420
"10/04";1;3;1;3;3;1;1;1;-;1;4;2;3;1;2;2;6;1;9;1;2;1;3;1;5;3;2;3;-;3;4;-;1;9;5;1;5;4;-;4;1;4;1;4;2;1;1;1;2;2;4;-;6;2;6;-;1;-;1;7;2;1;1;-;2;2;3;1;4;3;3;-;-;1;6;-;-;4;3;-;-;-;4;1;7;4;1;1;4;3;3;7;3;4;6;1;233
"11/04";1;1;1;5;2;-;3;-;-;1;1;1;1;-;-;1;1;3;4;4;-;4;-;5;2;1;2;1;-;7;3;2;2;7;3;6;2;3;-;1;2;1;-;5;6;2;2;3;1;1;4;-;3;1;19;1;1;2;2;6;1;1;1;-;1;-;-;1;6;1;3;3;3;6;3;2;3;9;-;-;-;2;3;-;5;3;-;-;1;-;2;5;2;5;1;2;218
"12/04";-;-;-;-;2;-;1;-;-;-;2;-;3;-;-;-;4;2;5;1;1;1;-;1;3;-;1;-;1;3;-;6;2;1;4;1;-;2;-;-;1;2;-;-;4;-;1;-;3;1;2;-;-;1;-;1;-;-;1;3;-;2;1;-;2;1;1;2;2;-;2;-;-;1;2;2;-;4;1;-;-;1;4;-;-;2;-;-;-;-;-;2;1;1;2;1;104
"13/04";3;2;2;6;8;3;14;2;-;2;12;1;10;-;-;6;9;11;17;2;-;15;6;7;19;2;2;2;4;12;7;10;6;6;12;17;11;6;5;1;8;28;7;11;13;11;9;4;1;4;7;-;7;5;9;7;1;4;2;10;5;4;5;4;4;4;4;9;14;8;4;5;4;5;8;1;9;15;11;2;1;2;9;-;9;8;3;-;4;2;1;10;5;8;7;1;603
"14/04";3;2;2;4;4;1;11;5;-;-;14;2;11;1;3;2;16;9;11;3;4;12;11;9;7;5;1;4;6;16;4;10;7;17;25;17;14;2;3;-;8;32;7;6;13;7;6;4;4;8;5;-;9;7;9;5;1;5;4;13;2;3;8;5;5;2;4;2;7;1;2;3;3;5;6;6;9;23;10;2;2;8;7;2;8;5;4;-;3;-;4;10;6;5;4;4;611
"15/04";4;1;1;3;9;1;12;7;1;7;8;3;15;3;6;4;11;9;20;4;3;12;5;7;8;2;3;2;7;24;3;5;4;6;4;27;10;8;-;2;2;22;8;5;13;9;3;-;3;4;4;-;5;4;2;6;3;5;5;5;5;1;6;7;6;2;-;3;12;3;6;4;3;5;12;2;10;17;7;-;1;7;11;3;9;6;5;-;3;8;8;8;6;2;5;8;580
"16/04";4;-;2;4;7;1;14;2;2;-;16;3;9;2;3;-;17;4;14;3;3;19;10;3;15;2;5;6;6;14;9;7;3;3;9;19;14;7;1;1;10;13;4;11;16;5;6;-;5;2;5;-;5;4;11;6;2;7;4;1;5;5;6;3;4;5;7;4;13;3;3;4;3;7;7;4;8;16;8;3;1;6;10;2;10;9;4;2;8;-;6;7;1;4;4;8;580
"17/04";6;2;1;2;4;-;2;6;1;1;17;3;5;4;2;8;9;3;21;3;2;11;7;6;10;6;5;6;5;8;8;6;4;10;13;13;5;3;1;2;8;22;3;6;9;9;5;1;8;6;4;-;6;3;13;6;1;4;7;3;22;-;6;4;5;2;4;4;12;2;4;6;3;5;9;3;5;18;6;3;1;7;12;4;10;11;6;1;4;1;6;11;7;4;6;10;579
"18/04";-;2;2;2;2;-;3;-;1;-;8;-;6;1;1;2;6;3;6;3;1;8;2;3;8;4;-;1;5;4;1;4;1;5;7;4;7;4;2;2;3;17;5;4;7;2;4;2;1;2;3;-;1;1;6;4;-;3;1;2;-;5;9;2;4;1;1;3;6;2;-;4;-;1;5;3;1;10;3;2;1;3;3;-;2;4;-;-;2;3;3;5;3;3;4;1;288
"19/04";-;-;-;-;3;-;-;1;-;-;1;-;5;-;1;1;7;2;4;1;1;2;1;2;3;1;-;-;3;7;2;1;-;1;3;2;2;2;-;-;-;16;3;-;6;-;-;-;2;-;1;-;1;1;-;1;-;-;5;2;-;2;-;2;-;2;2;-;5;-;1;-;2;4;3;1;3;6;1;1;-;1;1;-;5;-;-;-;2;1;-;6;-;-;1;2;151
"20/04";5;3;2;6;4;1;10;2;1;2;9;4;10;1;6;4;16;4;21;5;2;15;8;7;5;6;4;8;4;12;1;9;9;5;5;16;15;8;2;2;5;31;4;6;24;6;9;2;3;1;5;1;12;8;10;8;-;5;7;3;12;3;3;3;2;9;4;5;4;4;5;3;2;7;10;3;7;9;7;5;3;7;11;5;21;5;2;-;4;2;5;7;10;4;4;6;612
"21/04";3;-;1;4;3;-;3;1;1;-;3;-;3;2;-;2;7;4;14;1;4;4;10;7;2;2;-;1;2;11;2;-;4;2;6;10;7;5;-;-;5;20;3;3;11;3;-;1;4;-;4;-;1;2;2;4;-;2;2;1;3;-;3;3;2;2;1;2;7;1;1;1;-;4;2;3;4;5;7;3;1;1;2;1;7;3;2;-;1;-;6;3;1;1;2;6;290
"22/04";3;-;3;7;4;-;8;4;-;1;15;-;9;2;1;5;17;9;31;-;2;10;7;2;10;6;6;3;3;9;6;4;2;3;14;18;10;8;-;1;8;21;5;3;15;3;7;1;2;2;3;-;4;2;2;4;1;5;8;6;4;3;1;3;1;4;1;7;7;1;1;3;-;3;6;2;7;21;3;2;-;5;3;2;18;8;4;1;5;1;2;1;7;3;2;6;493
"23/04";5;1;-;5;3;2;7;2;-;3;10;3;4;1;2;3;14;9;17;1;3;10;12;5;12;-;6;2;10;13;5;5;1;3;11;6;13;5;2;2;3;17;9;6;16;10;11;3;-;5;5;1;6;3;5;11;1;1;5;12;7;3;5;10;3;10;3;3;16;2;6;3;2;3;9;4;7;13;7;2;1;3;10;5;18;6;4;3;4;2;-;8;7;4;3;7;551
"24/04";13;2;1;11;7;4;18;11;1;1;19;3;5;2;6;9;34;17;27;7;3;22;17;7;22;7;9;11;9;19;7;9;7;15;20;16;27;21;3;4;7;33;13;13;23;20;17;4;6;7;8;1;14;10;21;11;2;11;10;12;11;6;4;8;10;6;5;13;30;10;8;10;7;10;13;6;9;18;17;1;1;9;11;11;24;10;10;2;13;6;5;21;10;9;9;13;1062
"25/04";1;4;1;4;6;3;3;4;-;-;5;1;3;1;2;3;9;3;17;3;1;7;15;4;6;2;1;3;9;22;5;6;6;3;6;11;7;1;-;6;3;27;2;4;18;6;7;2;8;3;2;-;4;3;5;8;-;1;9;-;7;4;2;2;3;2;3;3;12;3;5;3;1;7;4;2;5;12;22;-;1;4;5;2;7;6;2;4;3;1;4;4;5;5;3;5;469
"26/04";2;-;1;3;1;1;3;-;1;-;5;-;4;2;-;1;6;3;11;1;1;9;2;5;1;-;1;2;1;11;2;2;2;3;9;7;8;2;-;-;1;19;4;1;14;3;7;-;2;1;2;-;4;1;2;3;-;2;3;-;1;5;1;2;4;3;2;1;7;4;3;1;1;2;2;2;2;10;2;1;1;3;4;3;2;3;2;-;6;-;4;4;1;1;4;3;279
"27/04";12;2;4;9;12;3;8;1;-;3;15;3;17;4;4;16;31;16;67;10;3;15;12;12;26;10;3;4;7;26;9;9;16;12;21;7;21;10;1;7;14;37;9;14;43;20;11;8;7;4;5;-;8;7;25;7;2;12;14;9;5;4;14;10;4;4;10;6;26;9;2;6;5;12;17;10;6;21;12;6;2;5;12;6;30;9;7;3;12;6;6;16;6;5;11;14;1063
"28/04";3;10;6;5;9;7;8;4;1;3;13;1;18;3;17;10;25;8;36;5;1;25;13;14;18;14;9;5;11;28;11;11;12;43;19;17;21;14;1;3;9;49;9;34;42;13;11;7;11;7;6;-;24;9;21;13;1;13;15;10;25;10;22;9;4;8;4;6;18;8;11;14;4;14;16;7;5;25;12;1;4;21;19;3;40;14;10;3;9;7;3;31;8;7;11;11;1210
"29/04";6;11;2;7;9;2;8;6;3;2;10;6;16;3;7;12;27;6;49;5;5;14;14;4;12;11;8;8;8;24;5;6;13;25;12;13;21;13;1;5;13;54;8;23;37;11;14;14;6;4;6;2;26;6;28;11;1;10;15;8;12;3;18;11;7;8;5;16;17;15;9;14;6;14;16;7;15;7;20;3;3;5;19;4;20;11;4;2;7;6;6;23;8;5;7;15;1084
"30/04";4;2;3;4;3;4;9;7;1;2;17;4;12;2;6;11;16;6;33;5;2;26;21;15;8;4;11;5;10;34;5;11;5;14;27;19;15;12;1;4;11;38;11;8;22;3;15;9;9;2;5;1;13;5;10;11;-;6;14;8;9;4;10;9;5;6;7;8;24;8;5;9;3;7;13;4;15;22;9;1;3;7;21;7;14;15;6;1;12;2;8;18;9;8;2;7;919
"01/05";4;-;1;3;3;2;4;2;1;2;11;1;10;1;8;7;11;3;17;5;-;12;15;6;5;4;4;7;6;21;4;5;6;6;11;8;8;2;1;2;7;49;2;7;19;4;6;5;3;7;3;-;5;-;13;3;-;3;7;9;8;4;8;2;3;6;-;7;6;12;3;6;2;2;5;3;5;10;5;2;1;4;1;2;20;3;1;1;4;3;4;9;5;1;7;7;553
"02/05";1;6;-;1;4;-;6;3;2;2;5;3;7;1;5;1;8;6;16;1;4;9;4;6;3;6;4;4;7;19;1;4;3;18;5;15;11;2;-;-;1;33;2;16;24;6;5;5;3;-;2;-;11;6;17;2;-;4;7;5;9;1;8;3;1;2;1;8;9;5;3;5;5;3;5;3;3;8;11;-;4;4;8;2;8;3;5;-;2;5;2;19;-;2;2;5;516
"03/05";3;1;-;-;3;-;-;1;-;2;13;2;2;1;1;3;8;4;20;3;-;7;5;2;5;-;1;2;6;15;2;5;1;-;6;8;5;4;-;-;3;37;2;-;15;1;3;3;-;1;4;-;5;2;-;8;-;3;4;1;2;2;-;2;2;3;-;3;7;-;1;3;1;2;4;-;5;8;3;1;1;2;2;2;10;-;2;3;2;1;1;3;2;-;3;2;318
"04/05";10;7;8;7;11;5;14;3;5;1;20;3;16;9;15;21;37;9;43;7;6;29;17;16;22;10;9;6;12;47;8;14;18;13;17;19;27;13;2;2;15;53;10;11;29;15;17;3;11;9;3;-;8;6;19;20;3;8;19;9;10;9;11;10;6;5;6;14;29;4;6;19;5;19;13;10;13;25;18;3;2;10;19;7;23;8;9;1;17;9;12;20;9;10;13;15;1245
"05/05";4;6;1;7;5;4;10;7;1;2;13;4;11;6;9;12;29;21;42;7;5;31;18;13;11;8;8;11;6;53;9;13;11;27;18;22;31;12;2;3;16;42;13;18;37;10;17;8;9;9;3;1;5;8;10;19;4;10;20;6;7;7;17;24;5;13;4;13;19;10;9;20;5;8;9;5;12;22;14;2;3;13;14;3;30;14;8;5;8;4;5;19;8;5;8;9;1159
"06/05";7;10;4;7;17;5;10;5;-;3;18;2;13;8;8;15;28;13;36;3;2;27;19;15;18;8;7;9;9;30;8;10;16;17;25;26;22;7;-;9;19;63;7;15;38;9;8;4;7;6;4;1;13;9;17;19;5;4;22;4;12;12;9;20;5;4;7;6;25;5;10;14;6;9;26;9;15;22;8;5;4;15;18;12;30;17;10;4;11;5;6;26;12;17;13;16;1215
"07/05";7;6;3;9;11;3;11;2;3;3;15;3;15;8;6;8;33;8;37;9;3;28;13;5;18;4;11;7;9;30;8;8;5;13;19;13;27;14;5;2;11;56;12;10;57;13;17;5;13;4;4;-;15;8;19;13;2;11;18;6;7;4;7;18;5;6;8;9;23;4;8;18;4;5;12;5;7;28;10;8;6;8;16;5;18;8;11;1;8;2;13;21;8;4;5;8;1074
"08/05";6;3;2;3;15;3;9;4;-;3;16;2;9;3;6;11;12;8;43;6;7;27;12;8;20;6;11;9;8;30;14;2;4;13;12;24;23;8;1;-;7;58;8;11;37;5;13;5;8;6;3;-;10;7;15;19;1;8;18;9;7;6;6;10;5;8;-;2;20;8;3;14;6;7;13;7;17;25;12;2;5;15;16;7;29;11;7;2;7;6;5;11;13;15;13;10;1001
"09/05";2;2;4;5;3;1;5;4;-;4;7;-;4;2;7;11;15;8;15;5;4;18;5;8;11;8;2;5;2;23;2;6;3;6;6;13;5;4;-;3;3;24;-;7;14;4;6;-;5;1;4;1;7;2;13;6;4;2;12;7;2;1;3;10;2;2;1;5;14;6;5;4;1;5;4;3;3;17;3;-;3;2;9;2;21;2;3;-;8;-;4;11;3;6;4;5;534
"10/05";1;-;3;3;5;1;-;1;-;-;7;-;1;-;-;4;6;3;18;2;1;4;6;1;3;-;3;3;7;20;1;4;2;1;8;4;5;-;1;1;3;19;2;2;16;3;3;2;2;1;4;-;3;2;4;5;-;1;7;2;1;3;1;1;4;3;1;3;2;1;1;1;1;3;8;1;4;11;4;-;4;-;4;-;6;4;1;-;2;-;5;-;1;1;2;3;298
"11/05";6;5;2;6;9;2;-;4;-;1;10;-;12;4;3;5;17;8;36;1;2;18;20;6;18;3;7;7;6;33;7;7;8;16;21;11;19;11;2;2;8;27;9;9;21;7;5;4;2;8;3;1;9;7;12;13;1;5;14;5;6;2;1;7;11;8;2;12;17;4;4;4;1;2;12;8;11;14;6;2;3;8;13;5;25;7;5;3;16;3;8;17;4;9;9;6;800
