"Dia Mês da Notific";"Água Rasa";"Alto de Pinheiros";"Anhangüera";"Aricanduva";"Artur Alvim";"Barra Funda";"Bela Vista";"Belém";"Bom Retiro";"Brás";"Brasilândia";"Butantã";"Cachoeirinha";"Cambuci";"Campo Belo";"Campo Grande";"Campo Limpo";"Cangaíba";"Capão Redondo";"Carrão";"Casa Verde";"Cidade Ademar";"Cidade Dutra";"Cidade Líder";"Cidade Tiradentes";"Consolação";"Cursino";"Ermelino Matarazzo";"Freguesia do Ó";"Grajaú";"Guaianases";"Iguatemi";"Ipiranga";"Itaim Bibi";"Itaim Paulista";"Itaquera";"Jabaquara";"Jacanã";"Jaguara";"Jaguaré";"Jaraguá";"Jardim Angela";"Jardim Helena";"Jardim Paulista";"Jardim São Luís";"José Bonifácio";"Lajeado";"Lapa";"Liberdade";"Limão";"Mandaqui";"Marsilac";"Moema";"Mooca";"Morumbi";"Parelheiros";"Pari";"Parque do Carmo";"Pedreira";"Penha";"Perdizes";"Perus";"Pinheiros";"Pirituba";"Ponte Rasa";"Raposo Tavares";"República";"Rio Pequeno";"Sacomã";"Santa Cecília";"Santana";"Santo Amaro";"São Domingos";"São Lucas";"São Mateus";"São Miguel";"São Rafael";"Sapopemba";"Saúde";"Sé";"Socorro";"Tatuapé";"Tremembé";"Tucuruvi";"Vila Andrade";"Vila Curuçá";"Vila Formosa";"Vila Guilherme";"Vila Jacuí";"Vila Leopoldina";"Vila Maria";"Vila Mariana";"Vila Matilde";"Vila Medeiros";"Vila Prudente";"Vila Sônia";"Total"
"26/06";9;4;14;17;31;5;8;11;4;12;65;9;26;9;13;14;68;27;81;13;16;59;38;37;44;5;15;29;30;100;31;35;21;28;55;62;35;27;4;12;44;59;40;13;77;50;39;16;10;25;13;-;12;23;9;24;6;23;35;22;12;18;6;29;16;18;4;14;58;15;20;16;22;34;46;33;41;81;23;4;10;17;35;16;31;35;18;12;37;3;16;15;29;28;32;23;2530
"27/06";6;2;5;9;17;4;9;8;10;5;19;13;19;2;14;6;32;17;26;5;11;18;26;16;13;6;11;21;10;47;12;17;7;9;27;43;23;3;1;10;14;34;15;11;36;20;21;16;6;6;9;-;1;22;5;8;2;9;12;25;5;15;6;12;7;10;10;51;18;5;12;10;12;18;28;13;24;39;12;3;6;9;15;5;10;12;6;3;15;2;5;12;16;12;15;10;1294
"28/06";3;1;3;2;9;1;5;2;4;2;7;3;5;-;4;4;9;10;14;4;4;10;8;12;11;-;7;9;7;33;5;7;6;4;27;13;4;3;1;2;13;22;9;4;21;7;5;3;1;4;12;-;2;8;-;6;-;3;7;10;5;2;3;11;4;2;4;8;15;6;5;6;3;4;14;7;9;15;2;3;1;2;13;7;12;19;4;7;8;-;3;4;9;5;6;4;634
"29/06";13;4;6;26;32;9;18;20;18;3;64;10;36;8;14;20;78;38;86;17;25;69;49;45;50;9;29;35;55;117;44;41;25;33;63;78;59;23;5;11;45;83;49;10;89;55;53;17;17;18;28;1;17;22;14;31;4;17;36;36;13;27;5;52;18;25;12;33;66;14;25;25;16;80;53;25;36;115;15;2;8;23;46;24;36;52;27;6;47;12;13;23;33;29;24;24;3111
"30/06";22;5;11;19;31;2;6;10;8;10;74;8;19;7;5;19;54;39;65;10;25;51;41;43;45;24;16;37;37;65;26;41;15;21;51;61;37;29;2;11;49;67;36;15;104;39;43;11;6;12;14;2;14;11;9;28;1;24;23;14;15;11;8;40;24;23;7;24;58;8;17;13;25;36;58;22;43;93;21;6;8;20;46;12;27;58;32;10;47;10;28;21;29;24;24;14;2586
"01_07";17;5;10;30;29;4;8;7;12;12;60;4;28;9;11;30;42;31;64;22;10;49;52;30;25;9;13;36;33;79;37;42;15;21;63;74;40;26;3;10;41;72;25;15;94;29;38;13;8;20;21;3;10;21;10;38;1;11;32;20;10;22;7;29;16;14;4;19;50;12;13;12;10;45;45;20;41;80;18;4;2;20;34;16;20;40;17;7;42;6;10;20;27;22;22;18;2418
"02_07";14;7;18;27;20;2;20;4;6;7;54;5;28;8;9;28;68;35;66;24;21;54;63;50;63;6;23;31;39;105;21;37;24;15;54;70;52;20;7;6;47;72;43;17;82;35;41;15;1;23;21;1;6;6;8;34;4;13;31;39;19;21;12;32;18;19;4;17;33;13;18;17;17;25;31;15;50;85;10;2;10;37;34;20;25;53;17;15;42;4;27;24;36;22;25;10;2609
"03_07";8;2;10;25;27;4;35;11;3;11;76;6;34;9;8;16;43;33;66;17;10;54;34;28;41;6;14;24;33;57;24;32;19;10;52;62;43;15;4;10;42;49;29;10;56;22;21;17;15;27;11;-;11;10;8;29;3;20;34;27;12;15;8;45;23;20;7;10;40;14;16;10;14;29;42;30;27;72;14;2;5;35;33;12;17;37;16;6;30;13;17;21;34;19;23;15;2240
"04_07";6;1;5;11;15;-;6;11;6;4;14;6;15;4;5;12;22;19;42;5;2;27;12;18;19;7;9;13;13;48;10;20;7;8;29;35;9;11;2;4;24;41;26;7;43;12;18;5;3;4;7;-;5;8;4;14;1;5;13;14;3;9;6;14;15;13;3;11;15;5;6;5;6;11;13;10;23;43;7;-;2;9;23;4;5;18;9;9;16;3;11;11;20;5;9;7;1145
"05_07";3;5;2;5;6;-;4;5;4;-;6;4;11;-;6;6;11;8;31;4;2;9;9;16;13;-;4;13;11;30;10;10;5;3;29;29;12;5;-;1;9;20;11;8;19;5;16;6;2;5;6;-;2;7;2;9;-;6;13;10;1;14;4;10;8;3;6;5;15;2;6;3;6;3;18;8;6;17;3;5;1;6;10;4;8;8;4;1;12;3;5;9;9;32;17;2;762
